City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lerwick,60.1545,-1.1494,10.0,83,100,7.96,GB,1712880872
1,port-aux-francais,-49.35,70.2167,6.25,91,98,3.93,TF,1712880873
2,christchurch,-43.5333,172.6333,12.4,93,75,9.26,NZ,1712880584
3,bredasdorp,-34.5322,20.0403,12.71,76,5,2.97,ZA,1712880876
4,ribeira grande,38.5167,-28.7,15.99,94,96,1.79,PT,1712880877
5,sault ste. marie,46.5168,-84.3333,12.16,66,100,2.06,CA,1712880768
6,margaret river,-33.95,115.0667,13.82,78,5,5.66,AU,1712880703
7,aral,40.5156,81.2636,16.65,94,19,3.69,CN,1712880882
8,qarqaraly,49.4058,75.4742,-4.53,80,73,3.01,KZ,1712880882
9,prishibinskoye,39.1196,48.5936,13.53,73,100,3.02,AZ,1712880883
10,shingu,33.7333,135.9833,15.76,76,100,3.59,JP,1712880884
11,badger,64.8,-147.5333,7.21,44,75,8.23,US,1712880885
12,albany,42.6001,-73.9662,15.05,80,100,0.89,US,1712880886
13,ushuaia,-54.8,-68.3,7.81,71,0,12.35,AR,1712880881
14,whitehorse,60.7161,-135.0538,5.08,59,24,4.07,CA,1712880888
15,grytviken,-54.2811,-36.5092,-3.78,79,49,4.78,GS,1712880890
16,cabo san lucas,22.8909,-109.9124,25.9,49,75,2.06,MX,1712880891
17,puerto natales,-51.7236,-72.4875,1.69,97,54,1.17,CL,1712880892
18,longyearbyen,78.2186,15.6401,-16.09,60,0,2.57,SJ,1712880893
19,la'ie,21.6477,-157.9253,27.98,82,100,4.92,US,1712880894
20,marang,5.2056,103.2059,26.79,80,48,1.12,MY,1712880895
21,tazovsky,67.4667,78.7,-20.86,90,65,7.8,RU,1712880896
22,tazacorte,28.629,-17.9293,23.54,31,100,4.63,ES,1712880897
23,waitangi,-43.9535,-176.5597,17.68,92,100,5.81,NZ,1712880898
24,urengoy,65.9667,78.3667,-20.14,91,100,7.56,RU,1712880720
25,adamstown,-25.066,-130.1015,21.24,54,15,5.38,PN,1712880903
26,nuku'alofa,-21.1333,-175.2,30.19,74,20,1.03,TO,1712880904
27,rosa zarate,0.3333,-79.4667,25.54,90,53,1.58,EC,1712880906
28,kalmunai,7.4167,81.8167,26.88,83,90,1.6,LK,1712880907
29,lihue,21.9789,-159.3672,27.58,79,0,2.57,US,1712880783
30,hermanus,-34.4187,19.2345,13.22,75,33,6.9,ZA,1712880735
31,invercargill,-46.4,168.35,10.01,80,99,2.68,NZ,1712880738
32,kerikeri,-35.2268,173.9474,24.95,75,40,3.88,NZ,1712880517
33,iskateley,67.6803,53.1512,1.68,100,100,7.6,RU,1712880913
34,takoradi,4.8845,-1.7554,25.87,89,100,0.71,GH,1712880914
35,bethel,41.3712,-73.414,15.76,90,100,2.57,US,1712880915
36,st. john's,47.5649,-52.7093,1.75,82,1,1.79,CA,1712880702
37,qaqortoq,60.7167,-46.0333,-10.58,93,15,2.1,GL,1712880917
38,alice springs,-23.7,133.8833,19.01,33,3,3.09,AU,1712880408
39,college,64.8569,-147.8028,7.26,46,75,8.23,US,1712880919
40,inhambane,-23.865,35.3833,20.44,73,100,3.42,MZ,1712880920
41,carnarvon,-24.8667,113.6333,21.99,59,59,8.74,AU,1712880639
42,port elizabeth,-33.918,25.5701,14.62,81,7,2.69,ZA,1712880922
43,papatowai,-46.5619,169.4708,8.35,77,100,2.05,NZ,1712880923
44,iqaluit,63.7506,-68.5145,-3.5,73,100,1.34,CA,1712880924
45,mana,5.6592,-53.7767,25.93,87,96,4.17,GF,1712880925
46,ujae,8.9322,165.7642,27.48,76,100,9.31,MH,1712880796
47,santo antonio do ica,-3.1022,-67.9397,24.52,97,94,0.75,BR,1712880927
48,buzovna,40.5179,50.1139,14.05,62,0,10.29,AZ,1712880929
49,nova xavantina,-14.6667,-52.35,24.44,88,53,0.83,BR,1712880930
50,klyuchi,52.2667,79.1667,-2.88,66,50,2.56,RU,1712880931
51,bilibino,68.0546,166.4372,-10.56,79,98,1.81,RU,1712880760
52,uturoa,-16.7333,-151.4333,29.1,77,8,7.93,PF,1712880934
53,gadzhiyevo,69.2551,33.3362,-0.33,89,100,11.11,RU,1712880568
54,vila franca do campo,37.7167,-25.4333,18.27,99,37,1.81,PT,1712880936
55,uvalde,29.3669,-99.767,29.51,14,0,5.14,US,1712880774
56,maridi,4.9158,29.4742,23.21,65,75,1.9,SS,1712880938
57,watton,53.9333,-0.45,16.15,82,40,5.66,GB,1712880939
58,grootfontein,-19.5667,18.1167,17.54,43,67,1.99,NA,1712880940
59,saipan,15.1355,145.701,29.39,74,40,7.72,MP,1712880903
60,port mathurin,-19.6833,63.4167,26.89,76,4,5.22,MU,1712880942
61,necochea,-38.5473,-58.7368,9.64,72,89,2.87,AR,1712880712
62,sandnessjoen,66.0217,12.6316,2.06,80,20,1.03,NO,1712880943
63,les avirons,-21.2418,55.3394,24.05,73,0,2.06,RE,1712880944
64,punta arenas,-53.15,-70.9167,7.84,65,59,8.06,CL,1712880653
65,pangody,65.85,74.4859,-14.57,83,100,11.8,RU,1712880946
66,edinburgh of the seven seas,-37.0676,-12.3116,18.42,93,37,7.05,SH,1712880948
67,langepas,61.2544,75.2124,-12.22,87,100,6.49,RU,1712880949
68,maintirano,-18.0667,44.0167,26.78,82,96,5.72,MG,1712880515
69,sokcho,38.2083,128.5911,17.7,51,3,1.23,KR,1712880952
70,mount gambier,-37.8333,140.7667,14.21,60,100,2.06,AU,1712880754
71,afaahiti,-17.75,-149.2833,29.93,87,89,8.28,PF,1712880955
72,debark',13.1561,37.8981,14.87,31,20,1.59,ET,1712880956
73,hamilton,39.1834,-84.5333,13.22,89,100,8.49,US,1712880689
74,sitka,57.0531,-135.33,6.94,61,40,6.17,US,1712880715
75,winston,28.0317,-82.0148,23.28,76,73,3.13,US,1712880959
76,puerto ayora,-0.7393,-90.3518,25.86,98,79,3.13,EC,1712880960
77,floro,61.5996,5.0328,7.98,81,20,6.17,NO,1712880962
78,tiksi,71.6872,128.8694,-25.03,94,16,6.7,RU,1712880963
79,ulladulla,-35.35,150.4667,16.54,61,44,1.23,AU,1712880965
80,kiunga,-6.1219,141.2906,23.86,99,100,0.7,PG,1712880966
81,jamestown,42.097,-79.2353,16.77,98,100,5.14,US,1712880803
82,vorgashor,67.5833,63.95,-9.55,87,100,10.19,RU,1712880968
83,lazaro cardenas,17.9583,-102.2,26.42,67,3,3.1,MX,1712880970
84,blackmans bay,-43.0167,147.3167,14.07,71,84,3.77,AU,1712880971
85,usogorsk,63.4106,48.6872,4.81,100,100,6.97,RU,1712880972
86,kosh-agach,50.0,88.6667,-0.39,68,100,4.47,RU,1712880973
87,isangel,-19.55,169.2667,29.06,79,75,1.03,VU,1712880974
88,dunkwa,5.9656,-1.78,23.95,93,100,0.67,GH,1712880975
89,olonkinbyen,70.9221,-8.7187,-8.07,90,100,6.9,SJ,1712880976
90,vadso,70.0744,29.7487,1.09,75,100,5.66,NO,1712880977
91,yabelo,4.8833,38.0833,15.91,91,15,2.94,ET,1712880978
92,yinzhu,35.8786,119.9753,12.8,83,72,2.97,CN,1712880980
93,karatuzskoye,53.6072,92.8667,1.88,92,96,4.47,RU,1712880981
94,princeville,45.7668,-61.2985,4.62,84,49,0.89,CA,1712880982
95,rehoboth,-23.3167,17.0833,18.08,38,22,2.06,NA,1712880984
96,hithadhoo,-0.6,73.0833,29.0,70,87,1.4,MV,1712880984
97,yellowknife,62.456,-114.3525,1.45,89,89,6.25,CA,1712880985
98,simanggang,1.2472,111.4528,25.22,90,63,0.2,MY,1712880986
